Variable,Description,Mean,Std,Median,Q1,Q3,Min,Max
Loan Period,Year of loan application (2007-2015),10.45,1.85,11.0,9.0,12.0,7.0,15.0
Cancel Count,Number of loan application cancellations,0.61,1.67,0.0,0.0,1.0,0.0,47.0
Fail Count,Number of failed loan applications,0.89,1.51,0.0,0.0,1.0,0.0,14.0
Success Count,Number of successful loan applications,1.8,1.28,1.0,1.0,2.0,1.0,9.0
Total Count,Total number of loan applications,3.31,3.26,2.0,1.0,4.0,1.0,48.0
Success Rate,Success rate of loan applications (0-1),0.71,0.3,0.75,0.5,1.0,0.02,1.0
Gender,"Gender (0=Male, 1=Female)",0.33,0.47,0.0,0.0,1.0,0.0,1.0
Age,Age of applicant (years),36.02,6.41,35.0,32.0,40.0,21.0,68.0
Region,"Region (0=Seoul Metropolitan, 1=Other)",0.52,0.5,1.0,0.0,1.0,0.0,1.0
Credit Score,Credit score (0-950),629.25,129.44,638.0,577.0,706.0,0.0,950.0
Monthly DTI,Monthly debt-to-income ratio,0.37,0.37,0.3,0.15,0.51,0.0,5.0
Annual Income,"Annual income (10,000 KRW)",3666.76,8894.5,2640.0,2000.0,3800.0,0.0,370000.0
Monthly Income,"Monthly income (10,000 KRW)",261.2,228.92,200.0,160.0,300.0,0.0,6000.0
